age,monthly_income,years_at_company,job_satisfaction,overtime_hours,promotion_years,target
36,104.1,6.48,4,20.66,7.77,1
50,70.42,10.0,3,1.0,5.58,1
52,483.01,3.34,3,1.91,13.51,0
44,152.71,11.72,3,4.72,0.99,0
49,91.65,0.21,3,13.44,3.16,0
50,113.42,2.14,4,13.88,0.42,1
33,134.15,11.36,4,5.24,1.03,1
58,115.21,8.47,0,26.03,8.81,0
46,536.54,0.91,6,16.2,0.64,1
31,28.62,5.8,1,20.1,5.48,1
41,111.52,6.88,4,3.21,7.13,0
64,134.1,6.99,4,2.66,0.58,1
39,533.47,0.0,1,5.38,5.91,1
40,248.9,0.8,4,20.0,0.0,0
20,299.26,4.78,0,25.23,5.23,1
30,123.78,6.7,2,17.45,1.56,0
61,86.22,4.23,4,1.0,5.5,1
40,127.27,5.77,6,20.76,6.79,1
24,95.71,3.69,2,14.93,2.84,1
40,348.32,6.84,3,2.99,2.57,0
37,139.29,0.0,3,1.0,4.18,1
62,112.99,5.88,2,9.31,9.37,1
18,171.07,7.07,5,10.69,8.03,1
51,235.97,7.85,3,9.76,0.0,0
39,213.24,5.08,0,15.1,1.14,0
21,72.96,3.76,2,2.02,3.01,0
35,44.46,0.51,4,8.18,3.63,0
52,215.57,9.53,2,4.87,3.84,0
27,78.92,7.7,5,1.0,3.97,1
49,1089.64,1.75,2,8.72,4.71,1
26,204.3,7.64,2,21.32,3.08,0
24,173.7,7.82,1,2.04,0.81,0
58,71.59,0.0,1,15.15,6.42,1
60,512.93,1.57,2,15.16,5.46,1
37,107.98,3.63,4,4.65,8.76,1
23,55.57,8.98,4,3.68,3.36,1
26,255.23,13.24,4,10.58,0.79,0
57,252.87,10.44,3,8.11,4.69,0
27,130.58,6.99,1,2.27,12.89,1
25,101.11,4.13,4,2.49,9.61,0
64,194.98,3.42,2,10.37,4.6,0
50,63.92,1.9,3,8.17,3.73,0
22,478.44,3.21,5,11.4,4.89,1
35,215.68,2.06,1,1.66,0.0,0
59,468.07,8.97,4,4.84,6.3,0
51,86.25,10.22,3,4.6,3.23,0
37,246.96,9.43,3,3.7,3.54,1
21,179.84,13.2,3,12.39,1.05,0
20,145.26,6.74,2,19.44,0.5,0
18,108.32,12.85,4,6.22,7.46,0
20,214.77,7.81,2,5.2,1.87,0
31,115.66,7.21,6,14.62,8.32,1
43,110.13,4.17,2,10.25,4.26,0
32,149.07,6.33,4,1.0,3.1,1
51,128.59,1.36,3,20.12,12.94,0
60,383.85,5.04,5,1.0,2.76,1
38,159.89,3.57,2,6.42,7.94,1
55,416.01,6.49,6,20.22,0.0,1
27,126.23,7.75,1,8.76,6.92,1
51,64.87,7.27,0,18.94,4.39,0
65,283.1,6.56,3,23.47,4.0,1
50,109.16,4.13,2,11.0,3.81,0
47,64.21,0.0,1,16.95,9.37,0
63,840.12,9.84,7,6.29,6.36,1
38,206.86,0.0,6,5.98,4.23,1
40,96.38,7.92,2,6.8,10.2,1
55,183.15,6.15,7,9.15,5.44,1
52,379.73,6.4,2,3.83,2.14,1
59,214.58,5.91,4,1.0,16.5,1
23,237.13,7.8,4,17.58,9.1,0
34,141.21,8.78,1,10.35,1.99,1
20,647.89,11.54,3,20.05,1.83,1
41,106.04,2.12,3,16.49,0.85,0
56,160.78,8.1,10,11.9,11.53,1
62,300.18,0.5,4,15.65,5.6,0
55,337.76,10.62,5,1.78,1.23,0
36,87.75,9.38,2,15.32,12.26,1
47,334.46,0.0,5,1.11,8.59,1
65,471.84,9.93,5,1.0,7.19,1
25,60.35,7.37,1,3.04,6.37,0
61,73.88,0.0,3,1.0,1.58,1
23,36.41,1.48,1,9.39,6.45,0
51,550.05,2.63,5,8.29,4.23,1
27,127.96,14.96,3,12.36,0.67,0
23,396.06,0.68,2,14.7,6.53,0
33,105.99,0.0,4,8.74,3.58,1
49,258.75,6.19,4,24.08,3.85,0
41,111.16,0.0,3,6.4,7.31,0
63,127.25,1.59,3,3.81,6.33,1
27,264.63,3.93,4,1.0,10.28,1
20,136.42,6.52,2,8.02,5.42,1
26,123.51,2.82,6,9.86,0.66,0
52,159.68,6.94,3,19.63,3.76,1
49,100.96,0.0,2,14.11,9.67,1
60,390.39,5.9,4,10.31,0.0,0
19,116.04,10.93,4,8.06,12.97,0
33,103.74,2.91,2,2.85,5.97,1
23,49.68,14.72,2,8.73,8.3,1
28,171.37,6.92,3,7.97,0.0,1
19,249.75,0.86,5,14.41,3.04,0
43,380.38,3.57,4,23.86,1.35,0
19,27.78,0.0,3,4.48,6.87,1
64,230.95,7.43,3,12.13,3.62,0
56,499.6,2.33,8,17.54,0.0,1
57,228.34,1.03,3,1.0,6.34,1
44,259.89,5.97,1,8.26,2.17,0
62,206.07,10.38,7,1.45,2.16,1
35,96.73,11.25,3,19.73,9.13,0
48,220.89,0.0,3,18.76,2.25,1
63,159.14,7.77,1,10.17,11.28,1
54,152.89,9.22,1,3.26,2.31,0
59,67.49,13.42,4,17.27,9.46,0
38,214.76,11.08,7,25.23,0.34,1
65,415.43,8.33,3,6.02,2.29,0
54,129.0,4.23,1,9.9,4.18,0
50,221.76,5.57,6,1.0,3.31,0
28,146.91,4.86,2,17.72,11.2,0
59,122.99,0.84,3,6.75,5.37,0
59,22.74,3.82,2,4.42,0.13,0
19,94.54,2.39,3,14.77,8.18,1
26,193.46,4.51,4,2.25,1.05,1
24,179.73,4.85,3,1.38,0.0,0
54,171.35,6.84,2,5.49,5.82,0
65,99.23,7.73,4,1.0,2.82,1
28,126.56,0.0,3,1.04,1.81,1
36,183.22,7.28,2,23.79,8.27,0
36,611.93,4.34,7,5.59,8.74,1
57,108.49,4.12,2,12.87,1.49,0
21,80.47,3.43,1,7.64,5.05,0
56,94.53,2.53,6,18.62,6.66,0
46,125.3,1.45,1,8.06,5.21,1
31,168.84,5.16,4,14.91,6.87,1
54,104.35,0.84,3,24.31,9.57,0
33,300.07,7.74,3,8.82,12.46,1
23,48.04,1.06,3,1.0,0.0,1
18,80.83,8.75,0,6.48,13.99,1
35,210.03,1.59,6,17.47,9.99,1
33,258.66,4.02,8,13.0,2.83,1
23,39.93,0.0,3,20.3,5.28,0
27,966.5,3.01,3,1.22,11.22,1
64,119.25,8.0,3,1.87,2.46,1
21,192.19,4.77,1,6.19,1.25,1
54,42.98,5.17,8,7.39,0.0,1
46,43.38,4.28,6,18.27,0.08,0
58,93.38,0.0,8,22.57,9.43,1
42,81.54,9.47,0,11.11,3.8,0
38,758.97,2.87,2,12.82,0.0,0
47,96.01,3.83,4,6.21,9.4,1
62,84.98,7.02,3,7.0,6.97,1
34,128.2,9.88,3,1.0,0.0,0
18,218.57,16.83,4,9.79,6.01,0
27,1275.99,7.22,1,18.11,1.08,1
35,193.4,10.68,4,3.39,3.53,0
42,177.94,11.83,3,7.81,7.29,1
48,116.72,8.2,0,17.91,0.0,0
30,73.5,14.46,3,26.08,2.96,0
64,196.7,4.94,3,4.15,5.34,0
36,105.19,1.38,4,1.47,3.78,0
60,431.93,3.95,6,14.76,6.23,1
20,390.44,0.82,2,1.0,2.86,1
61,141.44,6.33,7,13.07,6.5,1
39,237.09,4.73,2,1.0,3.29,0
46,73.52,0.0,3,12.52,12.36,1
60,1424.65,0.43,2,5.4,5.29,1
46,518.38,0.0,4,4.9,4.82,1
26,110.17,2.24,1,14.32,3.98,0
65,100.15,7.34,7,11.41,3.5,1
32,124.27,1.91,2,5.71,14.7,1
31,24.99,0.96,5,4.85,0.62,0
20,87.11,7.3,3,1.0,0.0,1
59,89.41,5.38,4,11.74,5.26,1
19,135.53,8.37,1,15.11,10.36,1
47,245.4,0.0,4,22.38,5.93,0
38,75.42,2.67,6,5.33,0.0,1
28,52.47,5.58,1,18.17,4.76,0
37,392.46,3.79,5,6.98,2.17,1
49,244.8,3.88,6,6.26,6.75,1
20,320.39,3.17,3,15.3,4.93,1
46,97.14,8.73,1,21.82,5.11,0
46,217.93,10.72,2,10.72,7.38,0
29,31.85,13.97,4,1.0,6.69,1
27,54.34,1.15,5,1.0,0.0,1
58,147.88,4.22,3,29.36,0.0,0
63,376.9,13.95,3,12.04,9.84,0
22,108.79,6.52,3,30.7,9.23,0
53,175.8,10.1,3,19.73,6.11,0
54,161.06,5.2,1,4.57,1.02,1
29,289.32,11.42,1,5.92,0.0,0
63,412.19,8.78,3,8.09,7.69,1
51,121.04,11.29,3,3.41,8.96,1
56,117.12,1.74,2,12.49,3.88,0
54,72.63,6.41,2,3.13,0.0,1
29,269.85,7.3,3,14.43,6.16,1
56,150.6,4.59,2,17.91,4.6,0
19,58.05,2.48,3,8.8,0.42,0
32,69.44,6.36,4,14.87,5.32,0
34,215.24,2.41,4,8.71,4.35,1
24,640.84,0.0,5,16.43,0.0,1
59,74.12,9.01,3,21.32,4.31,0
23,106.68,0.63,0,11.63,6.83,1
36,123.34,7.81,6,19.41,4.37,0
58,141.89,10.36,5,19.52,0.6,0
24,151.77,9.03,4,6.62,4.19,0
37,140.88,0.31,3,15.37,7.69,0
55,68.89,2.29,3,20.76,6.22,0
36,165.29,6.07,1,12.04,5.92,1
64,44.67,10.34,3,5.43,0.0,1
41,592.07,0.0,2,1.0,10.27,1
36,73.33,2.65,1,13.35,8.18,1
39,94.4,3.06,4,16.54,0.0,0
55,157.44,6.3,3,5.81,0.0,0
65,274.15,0.98,3,13.63,5.9,1
56,88.42,0.0,0,8.57,5.06,1
23,151.8,7.82,6,11.01,3.38,1
18,501.63,9.86,3,21.78,13.08,1
48,77.04,8.55,3,1.0,8.9,1
64,127.24,4.13,1,18.01,1.9,0
25,198.2,16.48,2,26.46,12.63,0
38,121.44,8.63,0,4.82,2.06,0
41,158.07,5.71,3,19.86,4.98,0
50,71.78,8.59,3,12.32,0.0,0
39,250.88,0.0,2,4.36,0.8,1
30,113.38,1.07,2,10.87,8.58,1
31,136.58,7.01,2,6.26,3.98,1
27,152.42,1.96,4,1.0,2.85,1
33,126.63,6.85,0,21.3,4.0,0
62,508.67,5.07,1,13.98,11.68,0
57,96.66,8.53,0,1.0,0.0,0
58,49.54,3.06,2,21.77,12.73,0
56,176.45,8.16,7,2.49,0.0,0
33,118.25,0.0,2,1.76,9.3,1
47,209.52,8.0,4,8.28,8.25,1
33,191.19,1.94,3,11.41,6.77,1
58,90.87,4.16,2,15.24,8.59,0
38,148.16,11.39,6,12.68,6.0,1
41,400.68,0.65,3,6.23,2.91,1
42,152.8,12.59,0,8.85,5.84,0
31,110.77,7.68,4,10.7,1.83,0
62,86.43,4.81,2,11.26,13.12,1
34,202.94,6.1,3,20.2,0.0,0
20,60.4,4.14,1,7.53,6.95,1
40,332.56,8.24,2,1.84,3.94,0
43,58.74,2.96,2,20.11,1.98,0
26,97.24,1.03,1,9.87,4.23,1
30,128.12,7.27,0,12.45,5.61,0
24,327.14,9.62,3,4.5,0.0,1
35,260.74,2.87,3,5.36,6.62,1
62,171.96,11.13,4,1.0,2.63,0
65,93.25,6.81,1,8.69,0.0,0
36,182.95,0.22,1,20.35,7.57,1
47,179.81,11.23,1,7.5,0.65,0
46,100.97,4.36,3,6.12,2.46,0
53,126.15,5.81,3,7.07,6.19,1
41,252.91,0.0,2,12.76,10.28,0
42,140.06,3.63,4,18.9,10.22,0
38,69.26,6.83,1,8.28,3.81,0
39,112.45,6.35,2,19.83,5.21,1
41,107.17,5.07,3,5.32,12.63,1
42,203.65,5.25,4,6.79,0.0,1
22,427.58,4.95,3,1.0,6.73,1
40,113.57,5.3,2,1.0,3.94,0
55,162.92,4.69,5,13.37,0.0,0
19,226.06,5.91,1,1.0,4.24,0
48,73.51,4.68,2,6.84,3.39,0
32,305.96,2.28,5,17.23,0.0,0
23,157.46,6.26,6,1.0,4.74,1
43,369.77,4.19,4,3.42,2.37,1
64,174.12,1.7,2,2.38,11.04,1
21,1270.74,9.92,4,1.0,7.98,1
49,400.62,2.75,6,3.72,7.52,1
34,246.38,4.34,1,18.54,3.64,0
47,233.56,3.94,5,6.06,1.68,1
30,93.03,3.79,3,1.0,7.55,1
45,268.07,6.14,2,3.1,2.89,0
64,232.26,8.29,5,10.15,2.51,0
63,371.42,3.9,3,1.0,0.0,1
52,233.49,2.15,3,20.91,5.77,0
43,57.26,2.0,4,13.72,12.77,0
62,151.83,1.84,0,19.14,9.14,0
37,80.38,1.94,4,17.03,2.11,0
49,152.94,10.95,7,12.59,8.04,0
47,147.4,5.86,3,18.73,1.26,0
24,56.07,0.8,3,15.72,2.67,1
64,154.83,8.4,6,14.21,6.39,0
51,271.22,5.21,3,16.08,9.28,1
50,212.74,9.75,0,1.0,0.0,0
58,111.84,7.83,1,14.3,5.78,0
56,120.59,5.95,5,11.69,4.2,1
41,118.34,2.21,3,14.07,2.85,1
52,155.6,10.4,2,1.0,4.39,0
60,120.18,4.16,3,16.45,0.0,0
63,144.9,2.7,3,17.55,2.73,0
26,65.03,0.0,2,6.97,9.35,1
25,25.57,3.48,1,10.62,1.91,0
48,98.12,1.74,4,30.92,0.16,0
27,38.1,5.81,0,21.97,5.0,0
40,251.96,0.0,1,1.0,3.07,1
23,78.2,7.27,6,2.06,6.0,1
41,86.35,5.16,0,4.87,4.72,0
20,103.54,1.71,4,4.15,0.0,1
18,66.15,5.11,1,5.94,3.49,1
23,226.55,0.56,7,5.36,2.92,1
53,87.19,4.98,5,13.8,8.53,1
63,599.07,2.27,1,9.19,4.6,0
53,118.04,8.84,1,8.84,2.48,0
18,167.64,1.78,4,6.83,0.0,1
65,95.86,7.1,2,8.06,12.28,0
60,49.75,0.0,4,5.01,8.43,1
43,34.58,0.34,3,17.15,5.12,0
25,329.93,0.0,3,11.02,2.46,1
41,459.82,9.03,2,7.62,2.78,1
63,154.54,2.95,3,8.8,0.31,0
30,391.17,3.8,2,11.84,8.48,1
35,210.28,2.64,3,6.4,7.36,1
31,96.38,3.01,6,6.22,8.04,1
23,512.74,3.72,3,8.27,4.11,1
60,67.47,7.65,1,12.3,0.0,0
35,110.64,4.04,5,10.75,2.82,1
46,176.75,8.5,6,3.1,5.96,0
45,101.58,7.02,4,1.0,3.8,0
56,158.54,7.42,3,1.0,1.48,0
41,202.41,5.52,2,31.96,0.0,0
29,47.11,1.68,1,13.96,7.67,1
18,101.99,7.21,7,3.76,5.35,0
33,52.06,3.96,1,21.7,10.47,0
60,266.38,2.78,2,11.9,11.51,1
59,81.99,7.35,6,15.97,11.0,1
59,135.38,7.32,4,12.27,1.66,0
19,100.72,10.01,1,15.24,0.0,0
23,174.2,2.57,2,4.78,3.15,0
33,371.66,5.2,4,16.17,11.38,1
18,89.9,4.16,2,9.06,9.29,0
27,507.85,0.0,0,23.21,7.3,0
44,607.88,8.87,5,15.62,3.23,1
38,91.84,3.87,7,19.75,8.37,0
18,176.34,8.05,5,7.19,5.33,0
59,91.08,2.98,5,1.0,11.41,1
26,111.33,11.51,3,13.46,1.21,1
31,62.2,4.14,2,18.12,3.15,1
37,178.61,6.19,4,12.94,13.95,1
38,670.59,0.23,2,1.0,5.12,1
25,263.16,7.99,4,1.0,7.72,0
64,80.32,6.93,2,7.68,2.52,1
58,210.02,2.31,4,13.66,6.59,0
26,76.7,2.98,2,1.91,4.74,1
47,72.36,6.99,3,2.14,0.9,0
22,184.48,0.0,2,7.77,12.8,1
47,151.44,3.9,6,7.7,0.0,0
65,137.62,9.02,2,16.91,6.78,0
54,144.5,2.27,3,13.89,0.85,0
40,250.51,0.0,8,1.41,3.86,1
19,159.35,6.8,3,6.49,6.38,1
37,139.77,7.02,2,13.54,2.61,0
54,53.12,5.45,4,1.0,3.9,1
53,170.21,7.56,4,12.48,3.74,0
65,143.8,3.62,2,13.81,8.39,0
29,42.46,9.7,1,15.03,11.53,0
59,60.78,11.82,4,18.67,4.82,1
45,337.84,8.57,3,2.29,4.34,0
50,258.36,2.98,2,19.22,5.09,0
32,63.99,8.46,5,1.0,6.6,1
34,75.68,1.63,4,20.94,3.45,0
30,244.63,4.53,6,21.46,6.51,0
20,107.09,6.09,3,23.0,0.0,0
38,138.39,6.92,4,8.49,4.22,0
27,41.45,9.37,1,12.58,0.84,0
46,146.06,3.62,3,7.74,8.73,1
49,232.92,5.8,1,17.3,6.49,0
